avg_capital_seq,spam
1.5,0
4.941,1
3.429,1
3.493,1
3.38,0
3.689,1
1,0
6.761,1
2.195,1
2.857,0
1.883,0
1.744,0
2.325,0
1.25,0
1.8,1
2.5,0
4.617,1
2.206,0
8.323,1
3.764,0
1.932,0
3.153,0
1.983,0
3.812,1
4.295,0
4.5,1
1.3,0
1,0
5.009,1
5.888,0
1,0
3.456,1
3.379,0
1.755,0
2.333,0
2.188,0
1.406,0
1.857,0
3.707,1
3.766,0
2.93,1
2.076,0
1.9,0
1.684,1
2.769,1
4.571,0
3.029,0
3.628,0
11.714,1
1.285,0
4.134,0
2.393,0
1.183,0
2.198,0
3.125,1
2.405,0
1.798,0
1.976,0
1.592,0
5.538,1
1.268,0
1.228,0
2.158,0
2.421,0
1,1
1.834,0
1.181,0
337.25,1
5.985,1
1.125,0
2.288,0
1.423,0
2.666,0
4.964,0
1,0
1,0
1.801,0
2.188,0
1.652,0
1.24,0
2.465,1
9.633,1
1.382,0
2.24,0
13.166,1
1.844,1
2.203,0
3.211,0
1.687,0
1.619,0
3.16,0
2.888,1
3.704,0
15.547,1
2.022,0
5.5,1
3.7,0
3.333,0
1.644,0
1.428,0
1,0
3,0
1.333,0
2.42,0
2.529,0
1.704,0
3.836,1
2.666,1
2.166,1
1.225,0
2,0
2.277,0
4.437,0
2.145,1
1.83,0
1.755,0
4.166,0
3.083,0
2.95,0
2.673,1
2.777,0
3.217,1
1.468,0
4.339,1
1,0
1.88,0
2,0
1.3,0
2.181,0
2.708,0
2.366,1
1.136,1
2.281,0
1.567,0
1.602,0
1,1
2.843,0
3.3,0
1.75,0
1.885,0
1.75,0
1.5,0
3.333,0
2.257,1
1.454,0
2.54,0
3.705,1
4.049,1
1.293,1
5.038,1
14.5,1
2.086,1
1.119,0
2.142,0
1,0
1.421,0
1.901,1
1.535,0
1.486,0
1,1
4.548,1
7.552,1
1.718,0
2.687,1
89.9,1
1.475,0
3.642,1
1.719,0
3.78,1
1.554,0
1.752,1
1.2,0
1.894,0
2.655,0
2.291,0
2.211,0
1.902,0
1.863,0
2.24,0
1.312,1
1.712,0
1.4,0
2.755,1
1.506,0
1,0
1.428,0
1.796,1
1.947,0
4.43,1
1.823,1
1,0
2.741,0
4.555,1
7.484,1
1.635,0
3.871,1
3.629,1
1.076,1
1.494,1
2.375,1
3.758,1
2.062,1
11.685,1
1.653,0
1.181,0
1.37,0
1.129,0
4.125,1
1.541,0
1.888,0
2.142,0
2.933,0
1.942,0
1.285,0
2.063,0
1.181,0
1,0
2.571,1
1.487,0
4.016,0
3.918,0
1.794,0
10.585,1
3.237,0
2.13,0
4.111,1
1.945,0
25.22,1
3.426,1
1.694,1
7.54,1
1.833,0
4.696,0
4.6,1
3.25,0
1.379,1
3.328,1
2.533,0
1.525,1
25.964,1
4.259,1
2.646,0
2.448,0
5.888,0
1.7,0
2.142,0
1.309,0
2.815,1
2.89,0
1.344,0
8.033,1
1.285,0
1.463,1
1.666,0
1.428,1
1.21,0
1.84,0
2,0
1.681,0
8.016,1
5.187,1
10.068,1
5.977,1
2.5,1
2.166,0
2.125,0
4.793,1
5.5,0
1,0
1,0
1.958,0
2.166,0
6.723,1
6.298,1
1.5,0
1.384,0
2.142,0
2.111,0
7,1
2,0
1.066,0
1.153,0
2.337,1
5.037,1
1.125,0
5.838,1
1.837,0
2.444,0
2.051,1
1.682,0
1.477,1
1.494,1
2.322,0
2.7,1
53.433,1
18,0
2.988,0
13.928,1
3.083,0
5.25,1
2.25,0
2.423,0
3.476,1
6.8,0
6.294,1
6.161,1
4.062,0
3.28,1
7.941,1
2.222,0
1.958,0
2.785,0
15.493,1
1.981,0
6.269,1
2.151,0
48.5,1
2.148,0
1,0
4,1
16.217,1
4.047,1
2.432,0
2.214,0
1.103,1
5.263,0
1.206,1
6.59,1
1.266,0
1.831,0
4.689,0
1.911,0
1.779,1
2.972,1
2.062,0
1.222,0
3.298,1
1.714,0
2.057,0
13.25,0
1.42,1
3.052,1
7.666,1
3.4,0
1.547,0
3.761,1
2.03,0
1,0
1.353,0
9.31,0
5.225,1
1.333,0
1.8,1
2.25,0
2.293,0
4.333,1
5.774,1
2.559,1
3,1
2.8,0
4.413,0
1.971,1
1,1
1.666,0
1.263,0
1.2,1
2.276,0
2.522,1
2.9,1
24.785,1
2.133,0
5.635,1
2.666,0
4.913,1
1.714,0
4.333,1
2.179,1
2.862,0
3.904,1
1,0
1,0
1.25,0
1,0
3,0
2.204,0
4.153,1
1.428,0
3.722,0
1.48,0
2,1
1,0
3.37,1
9.744,1
5.61,0
