moon       distance  period
Earth.1      239000   655.0
Mars.1         5800     7.7
Mars.2        14600    30.0
Jupiter.01   112000    12.0
Jupiter.02   262000    42.0
Jupiter.03   417000    85.0
Jupiter.04   665000   172.0
Jupiter.05  1171000   401.0
Jupiter.06  7133000  6014.0
Jupiter.07  7295000  6232.0
Jupiter.08  7369000  6325.0
Jupiter.09 13200000 15146.0
Jupiter.10 14000000 16620.0
Jupiter.11 14600000 17734.0
Jupiter.12 14700000 18792.0
Saturn.1     116000    23.0
Saturn.2     148000    33.0
Saturn.3     183000    45.0
Saturn.4     235000    66.0
Saturn.5     327000   108.0
Saturn.6     759000   383.0
Saturn.7     920000   511.0
Saturn.8    2213000  1904.0
Saturn.9    8053000 13211.0
Uranus.1      77000    34.0
Uranus.2     119000    60.0
Uranus.3     166000   100.0
Uranus.4     272000   209.0
Uranus.5     365000   323.0
Neptune.1    220000   141.0
Neptune.2   3461000  8626.0
